Date,Borough,Outcome type_Formal action is not in the public interest,Outcome type_Investigation complete; no suspect identified,Outcome type_Local resolution,Outcome type_Offender given a caution,Outcome type_Offender given a drugs possession warning,Outcome type_Offender given penalty notice,Outcome type_Suspect charged,Outcome type_Suspect charged as part of another case,Outcome type_Unable to prosecute suspect,Total
2022-09-01,South Gloucestershire,0,2,0,0,0,0,0,0,0,2
2022-09-01,South Kesteven,0,2,0,0,0,0,0,0,0,2
2022-09-01,South Staffordshire,0,1,0,0,0,0,0,0,0,1
2022-09-01,Southampton,0,2,0,0,0,0,0,0,0,2
2022-09-01,Southend,0,2,0,0,0,0,0,0,0,2
2022-09-01,Southwark,0,4723,72,21,0,16,146,0,0,4978
2022-09-01,Spelthorne,0,19,0,0,0,0,1,0,0,20
2022-09-01,St Albans,0,1,0,0,0,0,0,0,0,1
2022-09-01,Stroud,0,1,0,0,0,0,0,0,0,1
2022-09-01,Sunderland,0,1,0,0,0,0,0,0,0,1
2022-09-01,Sutton,0,2048,21,13,0,2,41,0,0,2125
2022-09-01,Swale,0,1,0,0,0,0,0,0,0,1
2022-09-01,Swansea,0,2,0,0,0,0,0,0,0,2
2022-09-01,Tandridge,0,5,0,0,0,0,0,0,0,5
2022-09-01,Tendring,0,4,0,0,0,0,0,0,0,4
2022-09-01,Tewkesbury,0,1,0,0,0,0,0,0,0,1
2022-09-01,Three Rivers,0,4,0,0,0,0,0,0,0,4
2022-09-01,Thurrock,0,14,0,0,0,0,0,0,0,14
2022-09-01,Tonbridge and Malling,0,4,0,0,0,0,0,0,0,4
2022-09-01,Tower Hamlets,0,3381,43,13,2,37,193,0,0,3669
2022-09-01,Trafford,0,1,0,0,0,0,0,0,0,1
2022-09-01,Uttlesford,0,3,0,0,0,0,0,0,0,3
2022-09-01,Vale of White Horse,0,1,0,0,0,0,0,0,0,1
2022-09-01,Wakefield,0,1,0,0,0,0,0,0,0,1
2022-09-01,Waltham Forest,0,2508,99,24,0,24,83,0,0,2738
2022-09-01,Wandsworth,0,2861,37,13,0,2,82,0,0,2995
2022-09-01,Watford,0,3,0,0,0,0,0,0,0,3
2022-09-01,Waverley,0,2,0,0,0,0,0,0,0,2
2022-09-01,Welwyn Hatfield,0,7,0,0,0,0,1,0,0,8
2022-09-01,West Berkshire,0,1,0,0,0,0,0,0,0,1
2022-09-01,Westminster,0,7524,232,32,2,30,235,0,0,8055
2022-09-01,Windsor and Maidenhead,0,5,0,0,0,0,0,0,0,5
2022-09-01,Woking,0,1,0,0,0,0,0,0,0,1
2022-09-01,Wokingham,0,0,0,0,0,0,1,0,0,1
2022-09-01,Wolverhampton,0,1,0,0,0,0,0,0,0,1
2022-09-01,Worthing,0,1,0,0,0,0,0,0,0,1
2022-09-01,Wycombe,0,3,0,0,0,0,1,0,0,4
2022-10-01,Ashford,0,1,0,0,0,0,0,0,0,1
2022-10-01,Aylesbury Vale,0,1,0,0,0,0,0,0,0,1
2022-10-01,Barking and Dagenham,0,647,67,8,0,28,84,0,0,834
2022-10-01,Barnet,0,1199,30,9,0,4,106,0,0,1348
2022-10-01,Basildon,0,1,0,0,0,0,0,0,0,1
2022-10-01,Bedford,0,1,0,0,0,0,0,0,0,1
2022-10-01,Bexley,1,1797,32,10,0,7,64,0,0,1911
2022-10-01,Brent,0,1471,53,17,0,4,138,0,0,1683
2022-10-01,Brentwood,0,1,1,0,0,0,0,0,0,2
2022-10-01,Brighton and Hove,0,0,0,0,0,0,1,0,0,1
2022-10-01,Bristol,0,1,0,0,0,0,0,0,0,1
2022-10-01,Bromley,0,760,65,15,0,13,86,0,0,939
2022-10-01,Broxbourne,0,1,0,0,0,0,0,0,0,1
2022-10-01,Camden,0,1690,48,13,1,11,131,0,0,1894
2022-10-01,Castle Point,0,3,0,0,0,0,0,0,0,3
2022-10-01,Central Bedfordshire,0,1,0,0,0,0,0,0,0,1
2022-10-01,Cheltenham,0,1,0,0,0,0,0,0,0,1
2022-10-01,City of London,0,47,1,0,0,1,3,0,0,52
2022-10-01,Colchester,0,1,0,0,0,0,0,0,0,1
2022-10-01,Cornwall,0,1,0,0,0,0,0,0,0,1
2022-10-01,County Durham,0,3,0,0,0,0,0,0,0,3
2022-10-01,Crawley,0,2,0,0,0,0,0,0,0,2
2022-10-01,Croydon,0,1555,56,18,4,22,103,0,0,1758
2022-10-01,Dacorum,0,1,0,0,0,0,2,0,0,3
2022-10-01,Dartford,0,3,0,0,0,0,0,0,0,3
2022-10-01,Dudley,0,1,0,0,0,0,0,0,0,1
2022-10-01,Ealing,1,1079,28,13,0,7,113,0,0,1241
2022-10-01,Eastbourne,0,1,0,0,0,0,0,0,0,1
2022-10-01,Eastleigh,0,1,0,0,0,0,0,0,0,1
2022-10-01,Elmbridge,0,3,0,0,0,0,0,0,0,3
2022-10-01,Enfield,0,1016,43,17,1,9,127,0,0,1213
2022-10-01,Epping Forest,0,2,0,0,0,1,1,0,0,4
2022-10-01,Epsom and Ewell,0,4,0,0,0,0,0,0,0,4
2022-10-01,Exeter,0,2,0,0,0,0,0,0,0,2
2022-10-01,Fenland,0,0,0,0,0,0,1,0,0,1
2022-10-01,Gravesham,0,1,0,0,0,0,0,0,0,1
2022-10-01,Greenwich,0,968,69,12,0,16,110,0,0,1175
2022-10-01,Hackney,0,1222,38,9,0,14,134,0,0,1417
2022-10-01,Hammersmith and Fulham,0,984,44,3,0,7,56,0,0,1094
2022-10-01,Harborough,0,1,0,0,0,0,0,0,0,1
2022-10-01,Haringey,0,1081,67,11,0,14,102,0,0,1275
2022-10-01,Harlow,0,1,0,0,0,0,0,0,0,1
2022-10-01,Harrow,0,613,28,8,0,4,74,0,0,727
2022-10-01,Havering,0,906,62,11,0,8,88,0,0,1075
2022-10-01,Herefordshire,0,1,0,0,0,0,0,0,0,1
2022-10-01,Hertsmere,0,4,0,0,0,0,0,0,0,4
2022-10-01,Hillingdon,0,993,94,23,0,10,119,0,0,1239
2022-10-01,Horsham,0,1,0,0,0,0,0,0,0,1
2022-10-01,Hounslow,0,929,24,2,0,13,89,0,0,1057
2022-10-01,Ipswich,0,1,0,0,0,0,0,0,0,1
2022-10-01,Islington,0,958,31,9,0,12,136,0,0,1146
2022-10-01,Kensington and Chelsea,0,1589,65,11,0,7,78,0,0,1750
2022-10-01,Kingston upon Thames,0,484,56,16,0,8,44,0,0,608
2022-10-01,Knowsley,0,1,0,0,0,0,0,0,0,1
2022-10-01,Lambeth,0,1240,36,18,0,10,159,0,0,1463
2022-10-01,Lewisham,0,1292,45,12,2,11,143,0,0,1505
2022-10-01,Luton,0,1,0,0,0,0,1,0,0,2
2022-10-01,Medway,0,2,0,0,0,0,0,0,0,2
2022-10-01,Merton,0,496,18,8,0,4,75,0,0,601
2022-10-01,Milton Keynes,0,1,0,0,0,0,0,0,0,1
2022-10-01,Newham,0,1735,129,16,0,51,149,0,0,2080
2022-10-01,Northampton,0,1,0,0,0,0,0,0,0,1
2022-10-01,Norwich,0,1,0,0,0,0,0,0,0,1
2022-10-01,Nottingham,0,1,0,0,0,0,0,0,0,1
2022-10-01,Oxford,0,1,0,0,0,0,0,0,0,1
2022-10-01,Preston,0,1,0,0,0,0,0,0,0,1
2022-10-01,Purbeck,0,1,0,0,0,0,0,0,0,1
2022-10-01,Reading,0,1,0,0,0,0,0,0,0,1
2022-10-01,Redbridge,0,879,59,5,0,14,89,0,0,1046
2022-10-01,Reigate and Banstead,0,2,1,0,0,0,0,0,0,3
2022-10-01,Richmond upon Thames,0,490,6,6,0,4,37,0,0,543
2022-10-01,Rochdale,0,0,0,0,0,0,1,0,0,1
2022-10-01,Rugby,0,3,0,0,0,0,0,0,0,3
2022-10-01,Sevenoaks,0,1,0,0,0,0,0,0,0,1
2022-10-01,Slough,0,1,0,0,0,0,0,0,0,1
2022-10-01,South Bucks,0,1,0,0,0,0,1,0,0,2
2022-10-01,South Cambridgeshire,0,1,0,0,0,0,0,0,0,1
2022-10-01,South Oxfordshire,0,1,0,0,0,0,0,0,0,1
2022-10-01,Southwark,0,1383,58,12,2,10,115,0,0,1580
2022-10-01,Spelthorne,0,1,0,0,0,1,0,0,0,2
2022-10-01,Stevenage,0,1,0,0,0,0,0,0,0,1
2022-10-01,Sutton,0,521,15,6,0,6,47,0,0,595
2022-10-01,Tandridge,0,3,0,0,0,0,0,0,0,3
2022-10-01,Tendring,0,1,0,0,0,0,0,0,0,1
2022-10-01,Thanet,0,2,0,0,0,0,0,0,0,2
2022-10-01,Three Rivers,0,2,0,0,0,0,0,0,0,2
2022-10-01,Thurrock,0,5,0,0,0,0,0,0,0,5
2022-10-01,Tower Hamlets,0,1686,55,10,0,29,163,0,0,1943
2022-10-01,Trafford,0,1,0,0,0,0,0,0,0,1
2022-10-01,Uttlesford,0,1,0,0,0,0,0,0,0,1
2022-10-01,Waltham Forest,0,947,74,15,0,22,85,0,0,1143
2022-10-01,Wandsworth,0,1119,28,9,2,2,90,0,0,1250
2022-10-01,Watford,0,1,0,0,0,0,0,0,0,1
2022-10-01,Westminster,0,5219,240,29,1,29,232,0,0,5750
2022-10-01,Windsor and Maidenhead,0,1,0,0,0,0,0,0,0,1
2022-10-01,Wirral,0,1,0,0,0,0,0,0,0,1
2022-10-01,Wycombe,0,0,0,0,0,0,1,0,0,1
2022-11-01,Aylesbury Vale,0,1,0,0,0,0,1,0,0,2
2022-11-01,Barking and Dagenham,0,1354,70,16,1,27,98,0,0,1566
2022-11-01,Barnet,1,1954,32,8,0,14,123,0,0,2132
2022-11-01,Bedford,0,2,0,0,0,0,0,0,0,2
2022-11-01,Bexley,0,3224,48,3,1,8,82,0,0,3366
2022-11-01,Birmingham,0,5,0,0,0,0,0,0,0,5
2022-11-01,Blackpool,0,1,0,0,0,0,0,0,0,1
2022-11-01,Boston,0,3,0,0,0,0,0,0,0,3
2022-11-01,Bracknell Forest,0,1,0,0,0,0,0,0,0,1
2022-11-01,Braintree,0,1,0,0,0,0,0,0,0,1
2022-11-01,Breckland,0,1,0,0,0,0,0,0,0,1
2022-11-01,Brent,0,1902,54,10,1,17,146,0,0,2130
2022-11-01,Brentwood,0,3,0,0,0,0,0,0,0,3
2022-11-01,Bridgend,0,1,0,0,0,0,0,0,0,1
2022-11-01,Brighton and Hove,0,1,0,0,0,0,0,0,0,1
2022-11-01,Bristol,0,2,0,0,0,0,0,0,0,2
2022-11-01,Bromley,0,1982,80,14,0,10,116,0,0,2202
2022-11-01,Broxbourne,0,10,1,0,0,0,0,0,0,11
2022-11-01,Camden,0,2037,60,15,0,15,136,1,0,2264
2022-11-01,Carlisle,0,3,0,0,0,0,0,0,0,3
2022-11-01,Castle Point,0,0,0,0,0,0,2,0,0,2
2022-11-01,Charnwood,0,1,0,0,0,0,0,0,0,1
2022-11-01,Chelmsford,0,0,0,0,0,0,1,0,0,1
2022-11-01,Chesterfield,0,1,0,0,0,0,0,0,0,1
2022-11-01,City of London,0,56,2,0,0,0,3,0,0,61
2022-11-01,Colchester,0,1,0,0,0,0,0,0,0,1
2022-11-01,Crawley,0,2,0,0,0,0,0,0,0,2
2022-11-01,Croydon,0,1790,71,22,1,25,148,0,0,2057
2022-11-01,Dartford,0,11,0,0,0,0,3,0,0,14
2022-11-01,Derby,0,0,0,0,0,0,1,0,0,1
2022-11-01,Doncaster,0,3,0,0,0,0,0,0,0,3
2022-11-01,Ealing,0,1270,37,10,0,11,109,1,0,1438
2022-11-01,East Hertfordshire,0,1,0,0,0,0,0,0,0,1
2022-11-01,East Lindsey,0,1,0,0,0,0,0,0,0,1
2022-11-01,Eastbourne,0,2,0,0,0,0,0,0,0,2
2022-11-01,Elmbridge,0,1,0,1,0,0,1,0,0,3
2022-11-01,Enfield,1,1323,40,14,0,7,112,0,0,1497
2022-11-01,Epping Forest,0,24,0,0,0,0,1,0,0,25
2022-11-01,Epsom and Ewell,0,9,0,0,0,0,0,0,0,9
2022-11-01,Gateshead,0,1,0,0,0,0,0,0,0,1
2022-11-01,Gravesham,0,4,0,0,0,0,0,0,0,4
2022-11-01,Greenwich,0,1525,83,4,0,27,133,0,0,1772
2022-11-01,Guildford,0,1,0,0,0,0,0,0,0,1
2022-11-01,Hackney,0,1819,46,17,0,7,121,0,0,2010
2022-11-01,Hammersmith and Fulham,0,1171,47,4,0,5,74,0,0,1301
2022-11-01,Haringey,0,1797,66,15,0,14,122,0,0,2014
2022-11-01,Harlow,0,3,0,0,0,0,0,0,0,3
2022-11-01,Harrow,0,1146,22,5,0,6,53,0,0,1232
2022-11-01,Hartlepool,0,1,0,0,0,0,0,0,0,1
2022-11-01,Havering,0,1101,63,19,0,15,111,0,0,1309
2022-11-01,Hertsmere,0,7,1,0,0,0,0,0,0,8
2022-11-01,Hillingdon,0,1519,84,18,1,8,148,0,0,1778
2022-11-01,Horsham,0,4,0,0,0,0,0,0,0,4
2022-11-01,Hounslow,0,1369,32,11,1,10,124,0,0,1547
2022-11-01,Ipswich,0,1,0,0,0,0,0,0,0,1
2022-11-01,Islington,0,1320,54,13,0,10,150,0,0,1547
2022-11-01,Kensington and Chelsea,0,2483,46,8,0,11,61,0,0,2609
2022-11-01,Kingston upon Thames,0,580,63,11,1,6,59,0,0,720
2022-11-01,Kirklees,0,1,0,0,0,0,0,0,0,1
2022-11-01,Lambeth,0,1801,56,20,0,4,118,0,0,1999
2022-11-01,Leeds,0,2,0,0,0,0,0,0,0,2
2022-11-01,Leicester,0,3,0,0,0,0,0,0,0,3
2022-11-01,Lewes,0,1,0,0,0,0,0,0,0,1
2022-11-01,Lewisham,0,1690,40,7,1,4,130,0,0,1872
2022-11-01,Liverpool,0,4,0,0,0,0,0,0,0,4
2022-11-01,Luton,0,6,1,0,0,0,0,0,0,7
2022-11-01,Medway,0,1,0,0,0,0,0,0,0,1
2022-11-01,Mendip,0,1,0,0,0,0,0,0,0,1
2022-11-01,Merton,0,1223,33,6,0,3,69,0,0,1334
2022-11-01,Mole Valley,0,2,0,0,0,0,0,0,0,2
2022-11-01,New Forest,0,2,0,0,0,0,0,0,0,2
2022-11-01,Newark and Sherwood,0,1,0,0,0,0,0,0,0,1
2022-11-01,Newham,0,1814,160,28,0,41,152,0,0,2195
2022-11-01,Newport,0,1,0,0,0,0,0,0,0,1
2022-11-01,North Lincolnshire,0,1,0,0,0,0,0,0,0,1
2022-11-01,Northampton,0,1,0,0,0,0,0,0,0,1
2022-11-01,Northumberland,0,1,0,0,0,0,0,0,0,1
2022-11-01,Oxford,0,1,0,0,0,0,0,0,0,1
2022-11-01,Peterborough,0,2,0,0,0,0,0,0,0,2
2022-11-01,Poole,0,1,0,0,0,0,0,0,0,1
2022-11-01,Redbridge,0,1277,78,10,1,18,117,0,0,1501
2022-11-01,Reigate and Banstead,0,1,0,0,0,0,0,0,0,1
2022-11-01,Richmond upon Thames,0,1193,18,8,0,3,54,0,0,1276
2022-11-01,Richmondshire,0,1,0,0,0,0,0,0,0,1
2022-11-01,Rochdale,0,1,0,0,0,0,0,0,0,1
2022-11-01,Rother,0,1,0,0,0,0,1,0,0,2
2022-11-01,Rotherham,0,2,0,0,0,0,0,0,0,2
2022-11-01,Runnymede,0,2,0,0,0,0,0,0,0,2
2022-11-01,Rushmoor,0,1,0,0,0,0,0,0,0,1
2022-11-01,Sandwell,0,2,0,0,0,0,0,0,0,2
2022-11-01,Sevenoaks,0,6,0,0,0,0,1,0,0,7
2022-11-01,Shepway,0,1,0,0,0,0,0,0,0,1
2022-11-01,Shropshire,0,1,0,0,0,0,0,0,0,1
2022-11-01,Slough,0,1,0,0,0,0,0,0,0,1
2022-11-01,South Bucks,0,2,0,0,0,0,0,0,0,2
2022-11-01,Southwark,0,2434,51,18,0,14,119,0,0,2636
2022-11-01,Spelthorne,0,4,1,0,0,0,0,0,0,5
2022-11-01,St,0,1,0,0,0,0,0,0,0,1
2022-11-01,St Albans,0,4,0,0,0,0,0,0,0,4
2022-11-01,Stevenage,0,1,0,0,0,0,0,0,0,1
2022-11-01,Stoke,0,1,0,0,0,0,0,0,0,1
2022-11-01,Surrey Heath,0,4,0,0,0,0,0,0,0,4
2022-11-01,Sutton,0,896,24,14,0,6,56,0,0,996
2022-11-01,Swindon,0,1,0,0,0,0,0,0,0,1
2022-11-01,Tandridge,0,1,0,0,0,0,0,0,0,1
2022-11-01,Thanet,0,1,0,0,0,0,0,0,0,1
2022-11-01,Three Rivers,0,1,0,0,0,0,0,0,0,1
2022-11-01,Thurrock,0,6,0,0,0,0,0,0,0,6
2022-11-01,Torbay,0,1,0,0,0,0,0,0,0,1
2022-11-01,Tower Hamlets,0,1533,68,16,2,22,179,0,0,1820
2022-11-01,Tunbridge Wells,0,1,0,0,0,0,0,0,0,1
2022-11-01,Uttlesford,0,3,0,0,0,0,0,0,0,3
2022-11-01,Waltham Forest,0,1525,79,16,1,23,98,0,0,1742
2022-11-01,Wandsworth,0,1540,51,6,1,6,92,0,0,1696
2022-11-01,Watford,0,5,0,0,0,0,0,0,0,5
2022-11-01,Wealden,0,2,0,0,0,0,0,0,0,2
2022-11-01,Welwyn Hatfield,0,1,0,0,0,0,0,0,0,1
2022-11-01,Westminster,0,6536,190,43,1,31,227,0,0,7028
2022-11-01,Wiltshire,0,1,0,0,0,0,0,0,0,1
2022-11-01,Woking,0,1,0,0,0,0,0,0,0,1
2022-11-01,Wolverhampton,0,4,0,0,0,0,0,0,0,4
2022-11-01,Wycombe,0,2,0,0,0,0,0,0,0,2
2022-12-01,Adur,0,2,0,0,0,0,0,0,0,2
2022-12-01,Ashfield,0,1,0,0,0,0,0,0,0,1
2022-12-01,Aylesbury Vale,0,1,0,0,0,0,0,0,0,1
2022-12-01,Barking and Dagenham,0,2083,61,6,0,11,62,0,0,2223
2022-12-01,Barnet,0,2851,29,14,0,8,60,2,0,2964
2022-12-01,Basildon,0,6,0,0,0,0,1,0,0,7
2022-12-01,Bedford,0,2,0,0,0,0,2,0,0,4
2022-12-01,Bexley,0,1739,41,8,0,8,37,0,0,1833
2022-12-01,Birmingham,0,7,0,0,0,0,0,0,0,7
2022-12-01,Blackpool,0,1,0,0,0,0,0,0,0,1
2022-12-01,Bournemouth,0,3,0,0,0,0,0,0,0,3
2022-12-01,Bracknell Forest,0,1,0,0,0,0,0,0,0,1
2022-12-01,Bradford,0,2,0,0,0,0,0,0,0,2
2022-12-01,Braintree,0,3,0,0,0,0,0,0,0,3
2022-12-01,Breckland,0,3,0,0,0,0,0,0,0,3
2022-12-01,Brent,0,3192,49,7,0,17,63,0,0,3328
2022-12-01,Brentwood,0,2,0,0,0,0,0,0,0,2
2022-12-01,Brighton and Hove,0,4,0,0,0,0,0,0,0,4
2022-12-01,Bristol,0,2,0,0,0,0,0,0,0,2
2022-12-01,Broadland,0,1,0,0,0,0,0,0,0,1
2022-12-01,Bromley,0,2733,63,16,1,4,52,0,0,2869
2022-12-01,Bromsgrove,0,1,0,0,0,0,0,0,0,1
2022-12-01,Broxbourne,0,6,0,0,0,0,0,0,0,6
2022-12-01,Burnley,0,1,0,0,0,0,0,0,0,1
2022-12-01,Cambridge,0,4,0,0,0,0,0,0,0,4
2022-12-01,Camden,0,2922,36,7,0,11,55,0,0,3031
2022-12-01,Canterbury,0,1,0,0,0,0,0,0,0,1
2022-12-01,Cardiff,0,1,0,0,0,0,0,0,0,1
2022-12-01,Central Bedfordshire,0,1,0,0,0,0,0,0,0,1
2022-12-01,Chelmsford,0,6,0,0,0,0,0,0,0,6
2022-12-01,Cheshire West and Chester,0,1,0,0,0,0,0,0,0,1
2022-12-01,Chiltern,0,1,0,0,0,0,0,0,0,1
2022-12-01,City of London,0,87,0,0,0,0,1,0,0,88
2022-12-01,Cornwall,0,1,0,0,0,0,0,0,0,1
2022-12-01,Coventry,0,1,0,0,0,0,0,0,0,1
2022-12-01,Crawley,0,1,0,0,0,0,0,0,0,1
2022-12-01,Croydon,0,4069,70,17,2,10,101,0,0,4269
2022-12-01,Dacorum,0,3,0,0,0,0,0,0,0,3
2022-12-01,Dartford,0,15,1,1,0,1,0,0,0,18
2022-12-01,Derby,0,3,0,0,0,0,0,0,0,3
2022-12-01,Doncaster,0,3,0,0,0,0,0,0,0,3
2022-12-01,Ealing,0,1832,25,9,1,5,59,0,0,1931
2022-12-01,East Hampshire,0,1,0,0,0,0,0,0,0,1
2022-12-01,East Hertfordshire,0,1,0,0,0,0,0,0,0,1
2022-12-01,East Riding of Yorkshire,0,1,0,0,0,0,0,0,0,1
2022-12-01,East Staffordshire,0,1,0,0,0,0,0,0,0,1
2022-12-01,Elmbridge,0,13,0,0,0,0,0,0,0,13
2022-12-01,Enfield,0,2426,19,8,0,5,52,0,0,2510
2022-12-01,Epping Forest,0,16,0,0,0,0,1,0,0,17
2022-12-01,Epsom and Ewell,0,13,0,0,0,0,1,0,0,14
2022-12-01,Flintshire,0,3,0,0,0,0,0,0,0,3
2022-12-01,Gravesham,0,2,0,0,0,0,0,0,0,2
2022-12-01,Greenwich,0,2760,36,7,0,14,62,0,0,2879
2022-12-01,Guildford,0,7,0,0,0,0,0,0,0,7
2022-12-01,Hackney,0,3050,40,9,0,6,97,0,0,3202
2022-12-01,Hammersmith and Fulham,0,1513,38,7,0,9,44,0,0,1611
2022-12-01,Haringey,0,1717,66,13,0,23,149,0,0,1968
2022-12-01,Harlow,0,1,0,0,0,0,0,0,0,1
2022-12-01,Harrow,0,913,24,2,0,6,12,0,0,957
2022-12-01,Hartlepool,0,3,0,0,0,0,0,0,0,3
2022-12-01,Hastings,0,1,0,0,0,0,0,0,0,1
2022-12-01,Havering,0,1458,62,12,0,10,46,0,0,1588
2022-12-01,Hertsmere,0,3,0,0,0,0,0,0,0,3
2022-12-01,Hillingdon,0,1498,94,11,0,4,77,0,0,1684
2022-12-01,Hounslow,0,1659,34,6,1,5,55,0,0,1760
2022-12-01,Ipswich,0,4,0,0,0,0,0,0,0,4
2022-12-01,Islington,0,1650,32,12,0,4,68,0,0,1766
2022-12-01,Kensington and Chelsea,0,1582,22,4,0,7,40,0,0,1655
2022-12-01,Kettering,0,1,0,0,0,0,0,0,0,1
2022-12-01,Kingston upon Thames,0,1339,53,10,0,10,36,0,0,1448
2022-12-01,Lambeth,0,3393,61,10,0,6,107,0,0,3577
2022-12-01,Leeds,0,1,0,0,0,0,0,0,0,1
2022-12-01,Leicester,0,4,0,0,0,0,0,0,0,4
2022-12-01,Lewisham,1,2600,35,10,1,7,63,0,0,2717
2022-12-01,Liverpool,0,1,0,0,0,0,0,0,0,1
2022-12-01,Luton,0,7,0,0,0,0,0,0,0,7
2022-12-01,Maidstone,0,6,0,0,0,0,0,0,0,6
2022-12-01,Maldon,0,1,0,0,0,0,0,0,0,1
2022-12-01,Manchester,0,5,0,0,0,0,0,0,0,5
2022-12-01,Medway,0,7,0,0,0,0,0,0,0,7
2022-12-01,Merton,0,1097,40,3,1,3,42,0,0,1186
2022-12-01,Mid Sussex,0,1,0,0,0,0,0,0,0,1
2022-12-01,Milton Keynes,0,2,0,0,0,0,0,0,0,2
2022-12-01,Mole Valley,0,1,1,0,0,0,0,0,0,2
2022-12-01,Newcastle upon Tyne,0,1,0,0,0,0,0,0,0,1
2022-12-01,Newham,0,2161,101,25,0,42,98,0,0,2427
2022-12-01,North Hertfordshire,0,1,0,0,0,0,0,0,0,1
2022-12-01,North Somerset,0,1,0,0,0,0,0,0,0,1
2022-12-01,Northampton,0,2,0,0,0,0,0,0,0,2
2022-12-01,Norwich,0,0,0,0,0,0,1,0,0,1
2022-12-01,Nuneaton and Bedworth,0,1,0,0,0,0,0,0,0,1
2022-12-01,Peterborough,0,1,0,0,0,0,0,0,0,1
2022-12-01,Portsmouth,0,2,0,0,0,0,0,0,0,2
2022-12-01,Reading,0,2,0,0,0,0,0,0,0,2
2022-12-01,Redbridge,0,1194,54,4,0,19,68,0,0,1339
2022-12-01,Reigate and Banstead,0,3,0,0,0,0,0,0,0,3
2022-12-01,Richmond upon Thames,0,4104,19,7,0,2,26,0,0,4158
2022-12-01,Rochford,0,4,0,0,0,0,0,0,0,4
2022-12-01,Rother,0,1,0,0,0,0,0,0,0,1
2022-12-01,Rotherham,0,1,0,0,0,0,0,0,0,1
2022-12-01,Rugby,0,1,0,0,0,0,0,0,0,1
2022-12-01,Rushmoor,0,1,0,0,0,0,0,0,0,1
2022-12-01,Sandwell,0,1,0,0,0,0,0,0,0,1
2022-12-01,Sedgemoor,0,1,0,0,0,0,0,0,0,1
2022-12-01,Sevenoaks,0,8,0,0,0,0,0,0,0,8
2022-12-01,Shepway,0,2,0,0,0,0,0,0,0,2
2022-12-01,Shropshire,0,1,0,0,0,0,0,0,0,1
2022-12-01,Slough,0,12,0,0,0,0,0,0,0,12
2022-12-01,Solihull,0,1,0,0,0,0,0,0,0,1
2022-12-01,South Bucks,0,1,0,0,0,0,0,0,0,1
2022-12-01,South Cambridgeshire,0,1,0,0,0,0,0,0,0,1
2022-12-01,South Lakeland,0,1,0,0,0,0,0,0,0,1
2022-12-01,South Ribble,0,1,0,0,0,0,0,0,0,1
2022-12-01,South Staffordshire,0,2,0,0,0,0,0,0,0,2
2022-12-01,Southampton,0,1,0,0,0,0,0,0,0,1
2022-12-01,Southwark,0,3832,47,11,0,18,89,0,0,3997
2022-12-01,Spelthorne,0,7,0,0,0,0,0,0,0,7
2022-12-01,St Albans,0,1,0,0,0,0,0,0,0,1
2022-12-01,St Edmundsbury,0,3,0,0,0,0,0,0,0,3
2022-12-01,Stoke,0,1,0,0,0,0,0,0,0,1
2022-12-01,Stroud,0,1,0,0,0,0,0,0,0,1
2022-12-01,Surrey Heath,0,1,0,0,0,0,0,0,0,1
2022-12-01,Sutton,0,1365,13,3,0,3,23,0,0,1407
2022-12-01,Swale,0,3,0,0,0,0,0,0,0,3
2022-12-01,Tandridge,0,3,0,0,0,0,0,0,0,3
2022-12-01,Telford and Wrekin,0,2,0,0,0,0,0,0,0,2
2022-12-01,Tendring,0,4,0,0,0,0,0,0,0,4
2022-12-01,Thanet,0,1,0,0,0,0,0,0,0,1
2022-12-01,Three Rivers,0,3,0,0,0,0,0,0,0,3
2022-12-01,Thurrock,0,2,0,0,0,0,0,0,0,2
2022-12-01,Tonbridge and Malling,0,2,0,0,0,0,0,0,0,2
2022-12-01,Tower Hamlets,0,2216,63,9,1,27,90,0,0,2406
2022-12-01,Uttlesford,0,1,0,0,0,0,0,0,0,1
2022-12-01,Waltham Forest,0,2010,43,8,0,17,33,0,0,2111
2022-12-01,Wandsworth,0,2148,29,18,1,4,68,0,0,2268
2022-12-01,Warrington,0,2,0,0,0,0,0,0,0,2
2022-12-01,Watford,0,6,0,0,0,0,0,0,0,6
2022-12-01,Welwyn Hatfield,0,1,0,0,0,0,0,0,0,1
2022-12-01,West Somerset,0,1,0,0,0,0,0,0,0,1
2022-12-01,Westminster,0,12519,180,28,3,16,145,0,0,12891
2022-12-01,Wiltshire,0,1,0,0,0,0,0,0,0,1
2022-12-01,Windsor and Maidenhead,0,4,0,0,0,0,0,0,0,4
2022-12-01,Wirral,0,1,0,0,0,0,0,0,0,1
2022-12-01,Wokingham,0,1,0,0,0,0,0,0,0,1
2022-12-01,Wycombe,0,2,0,0,0,0,0,0,0,2
2022-12-01,Wyre Forest,0,1,0,0,0,0,0,0,0,1
2023-01-01,Adur,0,1,0,0,0,0,0,0,0,1
2023-01-01,Arun,0,3,0,0,0,0,0,0,0,3
2023-01-01,Ashford,0,1,0,0,0,0,0,0,0,1
2023-01-01,Barking and Dagenham,0,2924,91,12,1,19,69,0,0,3116
2023-01-01,Barnet,0,3929,39,7,0,3,92,0,0,4070
2023-01-01,Barrow,0,1,0,0,0,0,0,0,0,1
2023-01-01,Basildon,0,5,0,0,0,0,0,0,0,5
2023-01-01,Basingstoke and Deane,0,3,0,0,0,0,0,0,0,3
