Date,Borough,Outcome type_Formal action is not in the public interest,Outcome type_Investigation complete; no suspect identified,Outcome type_Local resolution,Outcome type_Offender given a caution,Outcome type_Offender given a drugs possession warning,Outcome type_Offender given penalty notice,Outcome type_Suspect charged,Outcome type_Suspect charged as part of another case,Outcome type_Unable to prosecute suspect,Total
2022-06-01,Westminster,0,3947,175,29,0,22,200,0,0,4373
2022-06-01,Wigan,0,1,0,0,0,0,0,0,0,1
2022-06-01,Wiltshire,0,2,0,0,0,0,0,0,0,2
2022-06-01,Windsor and Maidenhead,0,1,0,0,0,0,0,0,0,1
2022-06-01,Woking,0,6,0,0,0,0,1,0,0,7
2022-07-01,Amber Valley,0,1,0,0,0,0,0,0,0,1
2022-07-01,Barking and Dagenham,0,1740,3,0,0,0,4,0,0,1747
2022-07-01,Barnet,0,1285,1,2,0,0,3,0,0,1291
2022-07-01,Barnsley,0,1,0,0,0,0,0,0,0,1
2022-07-01,Basildon,0,2,0,0,0,0,0,0,0,2
2022-07-01,Bexley,0,836,1,0,0,1,1,0,0,839
2022-07-01,Birmingham,0,2,0,0,0,0,0,0,0,2
2022-07-01,Brent,0,2069,5,0,0,1,12,0,0,2087
2022-07-01,Brentwood,0,3,0,0,0,0,0,0,0,3
2022-07-01,Brighton and Hove,0,4,0,0,0,0,0,0,0,4
2022-07-01,Bristol,0,1,0,0,0,0,0,0,0,1
2022-07-01,Bromley,0,1417,0,1,0,0,3,0,0,1421
2022-07-01,Broxbourne,0,4,0,0,0,0,0,0,0,4
2022-07-01,Cambridge,0,3,0,0,0,0,0,0,0,3
2022-07-01,Camden,0,2020,6,1,0,0,6,0,0,2033
2022-07-01,Castle Point,0,2,0,0,0,0,0,0,0,2
2022-07-01,Central Bedfordshire,0,2,0,0,0,0,0,0,0,2
2022-07-01,Charnwood,0,1,0,0,0,0,0,0,0,1
2022-07-01,Chelmsford,0,1,0,0,0,0,0,0,0,1
2022-07-01,Cheltenham,0,1,0,0,0,0,0,0,0,1
2022-07-01,Cherwell,0,1,0,0,0,0,0,0,0,1
2022-07-01,Cheshire West and Chester,0,2,0,0,0,0,0,0,0,2
2022-07-01,Chichester,0,1,0,0,0,0,0,0,0,1
2022-07-01,City of London,0,51,0,0,0,0,0,0,0,51
2022-07-01,Cornwall,0,1,0,0,0,0,0,0,0,1
2022-07-01,Coventry,0,2,0,0,0,0,0,0,0,2
2022-07-01,Craven,0,3,0,0,0,0,0,0,0,3
2022-07-01,Crawley,0,3,0,0,0,0,0,0,0,3
2022-07-01,Croydon,0,1392,7,1,0,1,8,0,0,1409
2022-07-01,Dacorum,0,1,0,0,0,0,0,0,0,1
2022-07-01,Dartford,0,5,0,0,0,0,0,0,0,5
2022-07-01,Denbighshire,0,1,0,0,0,0,0,0,0,1
2022-07-01,Derby,0,1,0,0,0,0,0,0,0,1
2022-07-01,Ealing,0,1501,1,2,0,0,6,0,0,1510
2022-07-01,East Hertfordshire,0,2,0,0,0,0,0,0,0,2
2022-07-01,East Northamptonshire,0,1,0,0,0,0,0,0,0,1
2022-07-01,Elmbridge,0,8,0,0,0,0,0,0,0,8
2022-07-01,Enfield,0,1627,1,0,0,1,5,0,0,1634
2022-07-01,Epping Forest,0,14,0,0,0,0,0,0,0,14
2022-07-01,Epsom and Ewell,0,3,0,0,0,0,0,0,0,3
2022-07-01,Fenland,0,2,0,0,0,0,0,0,0,2
2022-07-01,Flintshire,0,1,0,0,0,0,0,0,0,1
2022-07-01,Gosport,0,1,0,0,0,0,0,0,0,1
2022-07-01,Gravesham,0,1,0,0,0,0,0,0,0,1
2022-07-01,Greenwich,0,1187,1,0,0,0,8,0,0,1196
2022-07-01,Guildford,0,2,0,0,0,0,0,0,0,2
2022-07-01,Hackney,0,1577,3,0,0,0,4,0,0,1584
2022-07-01,Hammersmith and Fulham,0,1189,5,0,0,0,6,0,0,1200
2022-07-01,Haringey,0,2199,1,1,0,0,3,0,0,2204
2022-07-01,Harlow,0,2,0,0,0,0,0,0,0,2
2022-07-01,Harrow,0,605,2,0,0,0,5,0,0,612
2022-07-01,Havering,0,776,3,1,0,2,2,0,0,784
2022-07-01,Hertsmere,0,3,0,0,0,0,0,0,0,3
2022-07-01,Hillingdon,0,2003,11,0,0,0,12,0,0,2026
2022-07-01,Hinckley and Bosworth,0,1,0,0,0,0,0,0,0,1
2022-07-01,Hounslow,0,961,3,0,0,0,8,0,0,972
2022-07-01,Huntingdonshire,0,2,0,0,0,0,0,0,0,2
2022-07-01,Islington,0,2104,2,0,0,0,3,0,0,2109
2022-07-01,Kensington and Chelsea,0,1320,1,0,0,0,7,0,0,1328
2022-07-01,King,0,1,0,0,0,0,0,0,0,1
2022-07-01,Kingston upon Thames,0,600,1,2,0,1,1,0,0,605
2022-07-01,Kirklees,0,1,0,0,0,0,0,0,0,1
2022-07-01,Knowsley,0,2,0,0,0,0,0,0,0,2
2022-07-01,Lambeth,0,2235,4,2,0,0,6,0,0,2247
2022-07-01,Leeds,0,1,0,0,0,0,0,0,0,1
2022-07-01,Leicester,0,1,0,0,0,0,0,0,0,1
2022-07-01,Lewisham,0,1600,1,0,0,0,1,0,0,1602
2022-07-01,Lichfield,0,1,0,0,0,0,0,0,0,1
2022-07-01,Manchester,0,3,0,0,0,0,0,0,0,3
2022-07-01,Mansfield,0,1,0,0,0,0,0,0,0,1
2022-07-01,Medway,0,1,0,0,0,0,0,0,0,1
2022-07-01,Merton,0,709,2,0,0,0,1,0,0,712
2022-07-01,Mole Valley,0,2,0,0,0,0,0,0,0,2
2022-07-01,Newark and Sherwood,0,1,0,0,0,0,0,0,0,1
2022-07-01,Newham,0,2052,5,1,0,0,9,0,0,2067
2022-07-01,North Hertfordshire,0,4,0,0,0,0,0,0,0,4
2022-07-01,North Lincolnshire,0,1,0,0,0,0,0,0,0,1
2022-07-01,North Tyneside,0,4,0,0,0,0,0,0,0,4
2022-07-01,Peterborough,0,1,0,0,0,0,0,0,0,1
2022-07-01,Plymouth,0,5,0,0,0,0,0,0,0,5
2022-07-01,Portsmouth,0,1,0,0,0,0,0,0,0,1
2022-07-01,Reading,0,3,0,0,0,0,0,0,0,3
2022-07-01,Redbridge,0,1593,1,0,0,1,6,0,0,1601
2022-07-01,Reigate and Banstead,0,2,0,0,0,0,0,0,0,2
2022-07-01,Richmond upon Thames,0,568,0,0,0,0,4,0,0,572
2022-07-01,Rother,0,2,0,0,0,0,0,0,0,2
2022-07-01,Runnymede,0,1,0,0,0,0,0,0,0,1
2022-07-01,Sefton,0,1,0,0,0,0,0,0,0,1
2022-07-01,Slough,0,2,0,0,0,0,0,0,0,2
2022-07-01,South Bucks,0,3,0,0,0,0,0,0,0,3
2022-07-01,Southend,0,1,0,0,0,0,0,0,0,1
2022-07-01,Southwark,0,2174,0,1,0,0,0,0,0,2175
2022-07-01,Spelthorne,0,8,0,0,0,0,0,0,0,8
2022-07-01,St Albans,0,1,0,0,0,0,0,0,0,1
2022-07-01,Staffordshire Moorlands,0,1,0,0,0,0,0,0,0,1
2022-07-01,Stevenage,0,1,0,0,0,0,0,0,0,1
2022-07-01,Stratford,0,1,0,0,0,0,0,0,0,1
2022-07-01,Sutton,0,575,1,1,0,0,0,0,0,577
2022-07-01,Swansea,0,1,0,0,0,0,0,0,0,1
2022-07-01,Tandridge,0,3,0,0,0,0,0,0,0,3
2022-07-01,Tendring,0,3,0,0,0,0,0,0,0,3
2022-07-01,Three Rivers,0,3,0,0,0,0,0,0,0,3
2022-07-01,Thurrock,0,9,0,0,0,0,0,0,0,9
2022-07-01,Tonbridge and Malling,0,1,0,0,0,0,0,0,0,1
2022-07-01,Tower Hamlets,0,1675,0,3,0,0,7,0,0,1685
2022-07-01,Trafford,0,1,0,0,0,0,0,0,0,1
2022-07-01,Waltham Forest,0,1330,2,3,0,1,4,0,0,1340
2022-07-01,Wandsworth,0,970,0,0,0,0,2,0,0,972
2022-07-01,Watford,0,4,0,0,0,0,0,0,0,4
2022-07-01,Westminster,0,5126,6,2,0,1,17,0,0,5152
2022-07-01,Wirral,0,1,0,0,0,0,0,0,0,1
2022-08-01,Ashford,0,1,0,0,0,0,0,0,0,1
2022-08-01,Barking and Dagenham,0,666,65,18,0,18,75,0,0,842
2022-08-01,Barnet,0,1313,34,12,1,5,84,0,0,1449
2022-08-01,Basildon,0,2,0,0,0,0,0,0,0,2
2022-08-01,Bexley,0,552,42,7,0,6,50,0,0,657
2022-08-01,Birmingham,0,2,0,0,0,0,1,0,0,3
2022-08-01,Boston,0,1,0,0,0,0,0,0,0,1
2022-08-01,Brent,0,918,66,10,0,14,170,0,0,1178
2022-08-01,Brentwood,0,1,0,0,0,0,0,0,0,1
2022-08-01,Brighton and Hove,0,1,0,0,0,0,0,0,0,1
2022-08-01,Bromley,0,592,73,19,0,14,83,0,0,781
2022-08-01,Broxbourne,0,4,0,0,0,0,1,0,0,5
2022-08-01,Camden,0,1314,43,8,0,10,97,0,0,1472
2022-08-01,Central Bedfordshire,0,1,0,0,0,0,0,0,0,1
2022-08-01,City of London,0,48,0,0,0,3,2,0,0,53
2022-08-01,Colchester,0,3,0,0,0,0,0,0,0,3
2022-08-01,Coventry,0,2,0,0,0,0,0,0,0,2
2022-08-01,Croydon,0,1440,61,32,3,23,124,0,0,1683
2022-08-01,Dacorum,0,2,0,0,0,0,0,0,0,2
2022-08-01,Dartford,0,5,0,0,0,0,0,0,0,5
2022-08-01,Dover,0,1,0,0,0,0,0,0,0,1
2022-08-01,Ealing,0,1519,43,13,0,13,126,0,0,1714
2022-08-01,Elmbridge,0,5,0,0,0,0,0,0,0,5
2022-08-01,Enfield,0,1277,81,26,1,21,119,0,0,1525
2022-08-01,Epping Forest,0,13,1,0,0,0,0,0,0,14
2022-08-01,Epsom and Ewell,0,3,0,0,0,0,0,0,0,3
2022-08-01,Greenwich,0,1142,61,12,0,13,118,0,0,1346
2022-08-01,Hackney,0,1679,49,13,0,18,182,0,0,1941
