Date,Borough,Abstraction Type_Aid,Abstraction Type_CAD,Abstraction Type_Court,Abstraction Type_Custody,Abstraction Type_Local Aid,Abstraction Type_Not Abstracted,Abstraction Type_Staffing Up,Abstraction Type_Training
2018-09-01,Richmond,0.0,0.0,0.0,0.0,9030.0,197265.0,0.0,4200.0
2018-09-01,Wandsworth,15180.0,0.0,1500.0,0.0,12030.0,235785.0,0.0,5580.0
2018-10-01,Barking And Dagenham,2220.0,0.0,840.0,0.0,2340.0,270645.0,540.0,9720.0
2018-10-01,Camden,540.0,0.0,0.0,0.0,36390.0,257482.0,0.0,5985.0
2018-10-01,Ealing,2820.0,0.0,3060.0,0.0,6120.0,321407.0,0.0,20310.0
2018-10-01,Hackney,540.0,0.0,480.0,0.0,7740.0,226710.0,9960.0,9660.0
2018-10-01,Havering,1140.0,0.0,600.0,0.0,12630.0,215580.0,0.0,10470.0
2018-10-01,Hillingdon,540.0,0.0,1560.0,0.0,6660.0,198870.0,120.0,6780.0
2018-10-01,Hounslow,0.0,0.0,1230.0,0.0,480.0,201327.0,0.0,7830.0
2018-10-01,Islington,1080.0,0.0,0.0,0.0,43020.0,230205.0,2700.0,7620.0
2018-10-01,Kingston,0.0,0.0,0.0,0.0,6300.0,152430.0,0.0,3600.0
2018-10-01,Merton,0.0,1260.0,540.0,0.0,4800.0,266892.0,0.0,13940.0
2018-10-01,Newham,630.0,0.0,2160.0,0.0,4320.0,383040.0,0.0,9600.0
2018-10-01,Redbridge,9840.0,0.0,2100.0,0.0,32880.0,226819.0,0.0,3060.0
2018-10-01,Richmond,0.0,0.0,2700.0,0.0,24780.0,211350.0,0.0,8220.0
2018-10-01,Tower Hamlets,540.0,0.0,2010.0,0.0,20190.0,328590.0,0.0,12360.0
2018-10-01,Waltham Forest,540.0,0.0,390.0,0.0,20820.0,179505.0,0.0,6030.0
2018-10-01,Wandsworth,0.0,0.0,1620.0,0.0,17310.0,296332.0,1140.0,25770.0
2018-11-01,Barking And Dagenham,1200.0,0.0,0.0,0.0,23970.0,249510.0,0.0,2160.0
2018-11-01,Barnet,8940.0,720.0,2640.0,0.0,2760.0,290280.0,0.0,15960.0
2018-11-01,Bexley,2580.0,0.0,2010.0,0.0,26910.0,323828.0,0.0,1440.0
2018-11-01,Brent,0.0,0.0,540.0,0.0,7080.0,177375.0,0.0,7200.0
