Date,Borough,Rank Constable,Rank PSCO
2019-01-01,Hillingdon,1806.0,198859.0
2019-01-01,Hounslow,91.0,96724.0
2019-01-01,Islington,26.0,27.0
2019-01-01,Kingston,76.0,140523.0
2019-01-01,Lambeth,25.0,61122.0
2019-01-01,Lewisham,18.0,188900.0
2019-01-01,Merton,92.0,361355.0
2019-01-01,Newham,30.0,15.0
2019-01-01,Redbridge,161669.0,88978.0
2019-01-01,Richmond,18.0,11.0
2019-01-01,Southwark,105.0,16.0
2019-01-01,Tower Hamlets,25.0,286679.0
2019-01-01,Waltham Forest,24.0,13.0
2019-01-01,Wandsworth,27.0,12.0
2019-02-01,Barking And Dagenham,670.0,179920.0
2019-02-01,Barnet,32.0,72240.0
2019-02-01,Bexley,2088.0,514895.0
2019-02-01,Brent,89199.0,76402.0
2019-02-01,Bromley,75.0,411763.0
2019-02-01,Camden,70.0,175570.0
2019-02-01,Croydon,197244.0,141683.0
2019-02-01,Ealing,28.0,15.0
2019-02-01,Enfield,968.0,367700.0
2019-02-01,Greenwich,23.0,255760.0
2019-02-01,Hackney,20.0,63212.0
2019-02-01,Hammersmith And Fulham,195.0,12.0
2019-02-01,Haringey,31.0,13.0
2019-02-01,Harrow,33.0,9.0
2019-02-01,Havering,266043.0,77873.0
2019-02-01,Hillingdon,1806.0,198859.0
2019-02-01,Hounslow,92.0,96724.0
2019-02-01,Islington,26.0,27.0
2019-02-01,Kensington And Chelsea,26.0,88899.0
2019-02-01,Kingston,179.0,140528.0
2019-02-01,Lambeth,25.0,61122.0
2019-02-01,Lewisham,22.0,266680.0
2019-02-01,Merton,194.0,361355.0
2019-02-01,Newham,30.0,15.0
2019-02-01,Redbridge,161670.0,88978.0
2019-02-01,Richmond,18.0,11.0
2019-02-01,Southwark,106.0,16.0
2019-02-01,Sutton,24.0,220987.0
2019-02-01,Tower Hamlets,26.0,286679.0
2019-02-01,Waltham Forest,24.0,13.0
2019-02-01,Wandsworth,28.0,12.0
2019-02-01,Westminster,29.0,753046.0
2019-03-01,Barking And Dagenham,2450.0,179920.0
2019-03-01,Barnet,32.0,72240.0
2019-03-01,Bexley,2088.0,514895.0
2019-03-01,Brent,89199.0,76402.0
2019-03-01,Bromley,76.0,411763.0
2019-03-01,Camden,71.0,255589.0
2019-03-01,Croydon,197244.0,141683.0
2019-03-01,Ealing,29.0,16.0
2019-03-01,Enfield,970.0,367700.0
2019-03-01,Greenwich,23.0,255760.0
2019-03-01,Hackney,23.0,63212.0
2019-03-01,Hammersmith And Fulham,195.0,12.0
2019-03-01,Haringey,31.0,13.0
2019-03-01,Harrow,33.0,10.0
2019-03-01,Havering,266044.0,77873.0
2019-03-01,Hillingdon,1806.0,198859.0
2019-03-01,Hounslow,92.0,96724.0
2019-03-01,Islington,26.0,27.0
2019-03-01,Kensington And Chelsea,26.0,88899.0
2019-03-01,Kingston,181.0,140528.0
2019-03-01,Lambeth,25.0,61122.0
2019-03-01,Lewisham,22.0,266680.0
2019-03-01,Merton,196.0,361355.0
2019-03-01,Newham,30.0,15.0
2019-03-01,Redbridge,161670.0,88978.0
2019-03-01,Richmond,20.0,12.0
2019-03-01,Southwark,106.0,18.0
2019-03-01,Sutton,24.0,220987.0
2019-03-01,Tower Hamlets,27.0,377560.0
2019-03-01,Waltham Forest,27.0,14.0
2019-03-01,Wandsworth,62655.0,12.0
2019-03-01,Westminster,29.0,753046.0
2019-04-01,Barking And Dagenham,2452.0,179920.0
2019-04-01,Barnet,33.0,171212.0
2019-04-01,Bexley,2088.0,514970.0
2019-04-01,Brent,89199.0,76405.0
2019-04-01,Bromley,76.0,411766.0
2019-04-01,Camden,71.0,255589.0
2019-04-01,Croydon,197244.0,141688.0
2019-04-01,Ealing,29.0,16.0
2019-04-01,Enfield,970.0,367700.0
2019-04-01,Greenwich,23.0,255760.0
2019-04-01,Hackney,26.0,132470.0
2019-04-01,Hammersmith And Fulham,195.0,12.0
2019-04-01,Haringey,33.0,13.0
2019-04-01,Harrow,33.0,10.0
2019-04-01,Havering,266045.0,77873.0
2019-04-01,Hillingdon,1808.0,198859.0
2019-04-01,Hounslow,268.0,96724.0
2019-04-01,Islington,26.0,27.0
2019-04-01,Kensington And Chelsea,27.0,166305.0
2019-04-01,Kingston,181.0,140528.0
2019-04-01,Lambeth,25.0,61123.0
2019-04-01,Lewisham,1697.0,266680.0
2019-04-01,Merton,196.0,361355.0
2019-04-01,Newham,30.0,15.0
2019-04-01,Redbridge,176806.0,88978.0
2019-04-01,Richmond,21.0,12.0
2019-04-01,Southwark,106.0,19.0
2019-04-01,Sutton,25.0,220989.0
2019-04-01,Tower Hamlets,27.0,377560.0
2019-04-01,Waltham Forest,29.0,14.0
2019-04-01,Wandsworth,62655.0,12.0
2019-04-01,Westminster,30.0,753046.0
2019-05-01,Barking And Dagenham,3454.0,179920.0
2019-05-01,Barnet,33.0,357231.0
2019-05-01,Bexley,2088.0,514970.0
2019-05-01,Brent,89199.0,76406.0
2019-05-01,Bromley,79.0,411766.0
2019-05-01,Camden,71.0,255589.0
2019-05-01,Croydon,197246.0,141690.0
2019-05-01,Ealing,30.0,16.0
2019-05-01,Enfield,971.0,367700.0
2019-05-01,Greenwich,23.0,255760.0
2019-05-01,Hackney,27.0,132470.0
2019-05-01,Hammersmith And Fulham,196.0,12.0
2019-05-01,Haringey,34.0,16.0
2019-05-01,Harrow,33.0,12.0
2019-05-01,Havering,266046.0,77948.0
2019-05-01,Hillingdon,2808.0,198860.0
2019-05-01,Hounslow,268.0,96724.0
2019-05-01,Islington,27.0,27.0
2019-05-01,Kensington And Chelsea,29.0,166306.0
2019-05-01,Kingston,182.0,140528.0
2019-05-01,Lambeth,25.0,61123.0
2019-05-01,Lewisham,1697.0,266680.0
2019-05-01,Merton,194370.0,361355.0
2019-05-01,Newham,31.0,56045.0
2019-05-01,Redbridge,178633.0,88978.0
2019-05-01,Richmond,19080.0,13.0
2019-05-01,Southwark,107.0,19.0
2019-05-01,Sutton,26.0,265509.0
2019-05-01,Tower Hamlets,191.0,377560.0
2019-05-01,Waltham Forest,30.0,16.0
2019-05-01,Wandsworth,62655.0,12.0
2019-05-01,Westminster,30.0,753046.0
2019-06-01,Barking And Dagenham,3454.0,179920.0
2019-06-01,Barnet,33.0,357231.0
2019-06-01,Bexley,2088.0,514970.0
2019-06-01,Brent,89199.0,76406.0
2019-06-01,Bromley,79.0,411766.0
2019-06-01,Camden,71.0,255589.0
2019-06-01,Croydon,197246.0,141691.0
2019-06-01,Ealing,31.0,16.0
2019-06-01,Enfield,1068.0,367700.0
2019-06-01,Greenwich,23.0,255761.0
2019-06-01,Hackney,27.0,132470.0
2019-06-01,Hammersmith And Fulham,197.0,12.0
2019-06-01,Haringey,34.0,16.0
2019-06-01,Harrow,36.0,12.0
2019-06-01,Havering,322046.0,77948.0
2019-06-01,Hillingdon,2808.0,198861.0
2019-06-01,Hounslow,443.0,96724.0
2019-06-01,Islington,27.0,27.0
2019-06-01,Kensington And Chelsea,30.0,166306.0
2019-06-01,Kingston,184.0,140528.0
2019-06-01,Lambeth,28.0,61124.0
2019-06-01,Lewisham,1698.0,266680.0
2019-06-01,Merton,194373.0,361355.0
2019-06-01,Newham,32.0,56045.0
