Date,Borough,Age_Group_10-14,Age_Group_15-19,Age_Group_20-24,Age_Group_25-29,Age_Group_30-34,Age_Group_35-39,Age_Group_40-44,Age_Group_45+,Age_Group_<10,Age_Group_Unknown,Search Type_STOP_SEARCH ,Subject_Person,Subject_Person and Vehicle,Subject_Vehicle,Reason for Stop_A Stolen property (s.1 PACE),Reason for Stop_B Drugs (s.23 Misuse of Drugs Act),Reason for Stop_C Firearms (s.47 Firearms Act),Reason for Stop_D Weapons Point & Blades (s.1 PACE s.139 CJ Act),Reason for Stop_F Going equipped (s.1 PACE),Reason for Stop_K s.60 CJPO Weapons,Reason for Stop_L Articles to cause Criminal Damage (s.1 PACE),Reason for Stop_N Terrorism (s.43 & s.43A TACT),Reason for Stop_O Other Object (see Annex A of code A PACE),Reason for Stop_Q Terrorism (s.47A TACT),Reason for Stop_Y Psychoactive Substances,Reason for Stop_Z Fireworks (s.1 PACE),Outcome_1 No further action,Outcome_11 Penalty Notice (PND/FPN),Outcome_12 Postal Charge Requisition / Summons,Outcome_13 Community resolution,Outcome_14 Caution (simple or conditional),Outcome_4 Arrested,Outcome Reason_                                                  ,Outcome Reason_B Drugs                                           ,Outcome Reason_C Firearms Offences                               ,Outcome Reason_D Weapons Points & Blades Offences               ,Outcome Reason_I Immigration Offences                            ,Outcome Reason_L Criminal Damage Act Offences                    ,Outcome Reason_N Terrorism offences                              ,Outcome Reason_Not Applicable                                    ,Outcome Reason_O Other Offence (not listed above),Outcome Reason_P Public Order Offences (inc s.1-5 POA Drunkeness Assault on Police & Breach of the Peace),Outcome Reason_R Road Traffic Offences                           ,Outcome Reason_T Theft Fraud & Counterfeit Offences             ,Outcome Reason_V Violence (inc Common Assault ABH and GBH)      ,Outcome Reason_W Criminal Justice Offences (inc Recall Wanted Circulations Wanted on Warrant & Bail Act offences),Outcome Reason_Y Psychoactive Substances                         ,Outcome Reason_Z Fireworks Offences                              ,Gender_F                                                 ,Gender_M                                                 ,Gender_U                                                 ,Gender_V                                                 ,Ethnic Appearance Code_0 Unknown,Ethnic Appearance Code_1 White - North European,Ethnic Appearance Code_2 White - South European,Ethnic Appearance Code_3 Black,Ethnic Appearance Code_4 Asian,Ethnic Appearance Code_5 Chinese Japanese or South East Asian,Ethnic Appearance Code_6 Middle Eastern,EA Group_Asian,EA Group_Black,EA Group_Other,EA Group_White,Self-defined Ethnicity Code_A1 Indian,Self-defined Ethnicity Code_A2 Pakistani,Self-defined Ethnicity Code_A3 Bangladeshi,Self-defined Ethnicity Code_A9 Any other As,Self-defined Ethnicity Code_B1 Caribbean,Self-defined Ethnicity Code_B2 African,Self-defined Ethnicity Code_B9 Any other Bl,Self-defined Ethnicity Code_M1 White and Bl,Self-defined Ethnicity Code_M2 White and Bl,Self-defined Ethnicity Code_M3 White and As,Self-defined Ethnicity Code_M9 Any other mi,Self-defined Ethnicity Code_N1 Officer's pr,Self-defined Ethnicity Code_N1 Officer?s pr,Self-defined Ethnicity Code_N2 Situation in,Self-defined Ethnicity Code_N3 Person does,Self-defined Ethnicity Code_N4 Person decli,Self-defined Ethnicity Code_O1 Chinese,Self-defined Ethnicity Code_O9 Any other et,Self-defined Ethnicity Code_W1 British,Self-defined Ethnicity Code_W2 Irish,Self-defined Ethnicity Code_W9 Any other Wh,SDE Group_Asian,SDE Group_Black,SDE Group_Other,SDE Group_White
2020-05-01,Barking and Dagenham,0.023518344308560677,0.29068673565381,0.2737535277516463,0.1561618062088429,0.09313264346190028,0.06396989651928504,0.04045155221072436,0.043273753527751646,0.0,0.0,1.0,0.6989651928504234,0.2831608654750706,0.017873941674506115,0.08748824082784572,0.6904985888993415,0.0037629350893697085,0.14299153339604892,0.03198494825964252,0.043273753527751646,0.0,0.0,0.0,0.0,0.0,0.0,0.7610536218250236,0.04985888993414864,0.005644402634054563,0.09125117591721543,0.0009407337723424271,0.09125117591721543,0.0,0.17968015051740358,0.0009407337723424271,0.012229539040451553,0.0,0.0,0.0,0.7610536218250236,0.011288805268109126,0.0,0.020696142991533398,0.007525870178739417,0.0028222013170272815,0.0028222013170272815,0.0009407337723424271,0.0,0.059266227657572904,0.9247412982126059,0.0,0.01599247412982126,0.00658513640639699,0.30761994355597366,0.13076199435559738,0.30950141110065854,0.21636876763875823,0.0009407337723424271,0.01317027281279398,0.21636876763875823,0.30950141110065854,0.020696142991533398,0.43838193791157104,0.01881467544684854,0.028222013170272814,0.03857008466603951,0.09595484477892756,0.03762935089369708,0.09783631232361242,0.10536218250235184,0.008466603951081843,0.0037629350893697085,0.004703668861712135,0.01881467544684854,0.0037629350893697085,0.0,0.00940733772342427,0.012229539040451553,0.08748824082784572,0.0009407337723424271,0.012229539040451553,0.20319849482596425,0.007525870178739417,0.19002822201317027,0.18156161806208843,0.24082784571966134,0.16180620884289745,0.4007525870178739
2020-05-01,Barnet,0.02346805736636245,0.25945241199478486,0.2646675358539765,0.15645371577574968,0.10430247718383312,0.05867014341590613,0.03911342894393742,0.05997392438070404,0.0,0.0,1.0,0.6636245110821382,0.2985658409387223,0.03780964797913951,0.11473272490221642,0.6701434159061278,0.01564537157757497,0.12516297262059975,0.05736636245110821,0.003911342894393742,0.001303780964797914,0.0,0.011734028683181226,0.0,0.0,0.0,0.7679269882659713,0.01694915254237288,0.010430247718383311,0.07431551499348109,0.0,0.1303780964797914,0.0,0.14602346805736635,0.003911342894393742,0.014341590612777053,0.001303780964797914,0.001303780964797914,0.0,0.7679269882659713,0.018252933507170794,0.0,0.01955671447196871,0.01694915254237288,0.005215123859191656,0.003911342894393742,0.0,0.001303780964797914,0.07040417209908735,0.894393741851369,0.0,0.035202086049543675,0.00651890482398957,0.3285528031290743,0.07822685788787484,0.33116036505867014,0.11734028683181226,0.007822685788787484,0.09647979139504563,0.11734028683181226,0.33116036505867014,0.11082138200782268,0.4067796610169492,0.01303780964797914,0.02216427640156454,0.001303780964797914,0.0651890482398957,0.03911342894393742,0.08604954367666232,0.11082138200782268,0.002607561929595828,0.00651890482398957,0.002607561929595828,0.028683181225554105,0.007822685788787484,0.0,0.003911342894393742,0.03129074315514994,0.16036505867014342,0.002607561929595828,0.03389830508474576,0.16427640156453716,0.01303780964797914,0.17079530638852672,0.1016949152542373,0.23598435462842243,0.2803129074315515,0.34810951760104303
2020-05-01,Bexley,0.02900763358778626,0.33435114503816793,0.22748091603053436,0.1480916030534351,0.08549618320610687,0.06412213740458016,0.0366412213740458,0.04122137404580153,0.0,0.0,1.0,0.6763358778625954,0.2900763358778626,0.03358778625954199,0.07633587786259542,0.7038167938931298,0.0030534351145038168,0.0900763358778626,0.051908396946564885,0.01984732824427481,0.004580152671755725,0.0,0.0015267175572519084,0.0,0.04885496183206107,0.0,0.751145038167939,0.022900763358778626,0.012213740458015267,0.0900763358778626,0.0,0.12366412213740458,0.0,0.16030534351145037,0.0015267175572519084,0.01984732824427481,0.0,0.0061068702290076335,0.0,0.751145038167939,0.013740458015267175,0.0030534351145038168,0.012213740458015267,0.0183206106870229,0.0061068702290076335,0.0030534351145038168,0.004580152671755725,0.0,0.08549618320610687,0.8809160305343512,0.0,0.03358778625954199,0.0061068702290076335,0.6061068702290077,0.035114503816793895,0.24427480916030533,0.05801526717557252,0.007633587786259542,0.00916030534351145,0.05801526717557252,0.24427480916030533,0.022900763358778626,0.6412213740458015,0.0,0.004580152671755725,0.0,0.044274809160305344,0.016793893129770993,0.0549618320610687,0.12061068702290076,0.0030534351145038168,0.0061068702290076335,0.0,0.010687022900763359,0.0,0.0,0.0015267175572519084,0.004580152671755725,0.07633587786259542,0.004580152671755725,0.0183206106870229,0.5328244274809161,0.0030534351145038168,0.06412213740458016,0.04885496183206107,0.19236641221374046,0.1251908396946565,0.6
2020-05-01,Brent,0.01125703564727955,0.20637898686679174,0.3389618511569731,0.18699186991869918,0.0969355847404628,0.06191369606003752,0.03439649781113196,0.047529706066291436,0.0,0.0,1.0,0.6485303314571608,0.3314571607254534,0.020012507817385866,0.05315822388993121,0.699812382739212,0.004377736085053158,0.1357098186366479,0.027517198248905566,0.07317073170731707,0.0025015634771732333,0.0,0.001876172607879925,0.0,0.001876172607879925,0.0,0.7792370231394622,0.031269543464665414,0.013758599124452783,0.07129455909943715,0.0012507817385866166,0.10318949343339587,0.0,0.15322076297686055,0.0012507817385866166,0.016260162601626018,0.0006253908692933083,0.0,0.0,0.7792370231394622,0.01876172607879925,0.0025015634771732333,0.014383989993746092,0.009380863039399626,0.0012507817385866166,0.0025015634771732333,0.0006253908692933083,0.0,0.06378986866791744,0.9205753595997499,0.0006253908692933083,0.0150093808630394,0.009380863039399626,0.14509068167604752,0.06378986866791744,0.5315822388993121,0.1569731081926204,0.00375234521575985,0.07379612257661038,0.1569731081926204,0.5315822388993121,0.08692933083176986,0.20888055034396497,0.023764853033145718,0.016885553470919325,0.001876172607879925,0.08130081300813008,0.07442151344590368,0.13633520950594122,0.17573483427141964,0.010631644777986242,0.005628517823639775,0.00375234521575985,0.017510944340212633,0.0075046904315197,0.0,0.0068792995622263915,0.039399624765478425,0.1813633520950594,0.0012507817385866166,0.03627267041901188,0.06316447779862414,0.006253908692933083,0.09443402126328955,0.12382739212007504,0.38649155722326456,0.31019387116948094,0.16385240775484677
2020-05-01,Bromley,0.018225039619651346,0.3304278922345483,0.24247226624405704,0.13946117274167988,0.08399366085578447,0.04675118858954041,0.03645007923930269,0.045166402535657686,0.000792393026941363,0.0,1.0,0.7250396196513471,0.2163232963549921,0.058637083993660855,0.08003169572107766,0.6988906497622821,0.004754358161648178,0.07210776545166403,0.12044374009508717,0.001584786053882726,0.011093502377179081,0.000792393026941363,0.003961965134706815,0.0,0.006339144215530904,0.0,0.8312202852614897,0.015055467511885896,0.010301109350237718,0.07210776545166403,0.0,0.07131537242472266,0.0,0.1196513470681458,0.000792393026941363,0.006339144215530904,0.0,0.000792393026941363,0.0,0.8312202852614897,0.010301109350237718,0.000792393026941363,0.0071315372424722665,0.019809825673534072,0.002377179080824089,0.000792393026941363,0.0,0.0,0.10380348652931855,0.838351822503962,0.000792393026941363,0.05705229793977813,0.009508716323296355,0.5301109350237718,0.061014263074484945,0.29160063391442154,0.03565768621236133,0.000792393026941363,0.015055467511885896,0.03565768621236133,0.29160063391442154,0.025356576862123614,0.5911251980982567,0.002377179080824089,0.000792393026941363,0.001584786053882726,0.030110935023771792,0.03724247226624406,0.029318541996830427,0.13074484944532488,0.010301109350237718,0.002377179080824089,0.001584786053882726,0.015055467511885896,0.025356576862123614,0.0,0.003169572107765452,0.01664025356576862,0.09350237717908082,0.0,0.015055467511885896,0.4358161648177496,0.0071315372424722665,0.08557844690966719,0.03486529318541997,0.19730586370839936,0.18304278922345482,0.528526148969889
2020-05-01,CO18 (Heathrow Airport),0.0,0.11764705882352941,0.11764705882352941,0.23529411764705882,0.17647058823529413,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.0,0.0,1.0,0.29411764705882354,0.7058823529411765,0.0,0.17647058823529413,0.47058823529411764,0.0,0.29411764705882354,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7058823529411765,0.0,0.0,0.058823529411764705,0.0,0.23529411764705882,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.0,0.7058823529411765,0.058823529411764705,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.47058823529411764,0.0,0.23529411764705882,0.29411764705882354,0.0,0.0,0.29411764705882354,0.23529411764705882,0.0,0.47058823529411764,0.0,0.11764705882352941,0.0,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.23529411764705882,0.0,0.23529411764705882,0.23529411764705882,0.17647058823529413,0.11764705882352941,0.47058823529411764
2020-05-01,Camden,0.015065913370998116,0.2642812303829253,0.25109855618330196,0.1902071563088512,0.1029504080351538,0.05775266792215945,0.04143126177024482,0.06277463904582549,0.0025109855618330196,0.0,1.0,0.7664783427495292,0.2197112366603892,0.013810420590081607,0.08537350910232266,0.687382297551789,0.003766478342749529,0.12366603892027621,0.02573760200878845,0.06842435655994979,0.003138731952291274,0.0006277463904582549,0.0006277463904582549,0.0,0.0012554927809165098,0.0,0.805398618957941,0.02573760200878845,0.011927181418706842,0.05963590709353421,0.0006277463904582549,0.09667294413057125,0.0,0.13057124921531701,0.0,0.009416195856873822,0.0,0.0006277463904582549,0.0,0.805398618957941,0.01820464532328939,0.004394224733207784,0.004394224733207784,0.021343377275580666,0.0012554927809165098,0.004394224733207784,0.0,0.0,0.0583804143126177,0.928436911487759,0.0018832391713747645,0.011299435028248588,0.009416195856873822,0.3389830508474576,0.06465787821720025,0.39296924042686754,0.13684871311989957,0.005021971123666039,0.040175768989328314,0.13684871311989957,0.39296924042686754,0.054613935969868174,0.40364092906465787,0.004394224733207784,0.006905210295040804,0.03327055869428751,0.04268675455116133,0.03640929064657878,0.1098556183301946,0.08537350910232266,0.011927181418706842,0.005649717514124294,0.0025109855618330196,0.014438166980539862,0.005649717514124294,0.0,0.003138731952291274,0.023854362837413684,0.2768361581920904,0.0018832391713747645,0.023854362837413684,0.21029504080351538,0.009416195856873822,0.07972379158819837,0.08725674827369742,0.23163841807909605,0.3697426239799121,0.2994350282485876
2020-05-01,City of Westminster,0.016710642040457344,0.22691292875989447,0.2594547053649956,0.17546174142480211,0.113896218117854,0.0681618293755497,0.056288478452066845,0.07080035180299032,0.0,0.0,1.0,0.7493403693931399,0.23526824978012312,0.015391380826737027,0.11433597185576078,0.6196130167106421,0.001759014951627089,0.15611257695690414,0.03913808267370272,0.05672823218997362,0.0013192612137203166,0.007475813544415127,0.002638522427440633,0.0,0.0008795074758135445,0.0,0.8161829375549692,0.016710642040457344,0.007475813544415127,0.07036059806508356,0.0,0.08927000879507475,0.0,0.12093227792436236,0.00043975373790677223,0.012752858399296393,0.0013192612137203166,0.00043975373790677223,0.0,0.8161829375549692,0.016270888302550572,0.001759014951627089,0.009234828496042216,0.014511873350923483,0.002638522427440633,0.002638522427440633,0.0008795074758135445,0.0,0.05716798592788039,0.9283201407211962,0.0013192612137203166,0.013192612137203167,0.009674582233948988,0.24494283201407213,0.0901495162708883,0.3073878627968338,0.11785400175901495,0.006156552330694811,0.2119613016710642,0.11785400175901495,0.3073878627968338,0.227792436235708,0.33509234828496043,0.004837291116974494,0.006596306068601583,0.011873350923482849,0.08443271767810026,0.04001759014951627,0.059366754617414245,0.08047493403693931,0.008355321020228672,0.00395778364116095,0.002638522427440633,0.025065963060686015,0.011873350923482849,0.0,0.006596306068601583,0.051890941072999124,0.25241864555848725,0.00043975373790677223,0.06640281442392261,0.14643799472295516,0.008795074758135445,0.11521547933157432,0.1077396657871592,0.17985927880386984,0.42963940193491645,0.2704485488126649
2020-05-01,Croydon,0.01694915254237288,0.29327170005136105,0.25629173086800205,0.15151515151515152,0.10220852593733949,0.06728299948638931,0.036466358500256806,0.0667693888032871,0.0005136106831022085,0.0,1.0,0.7668207498715973,0.22085259373394966,0.012326656394453005,0.061633281972265024,0.7180277349768875,0.0015408320493066256,0.1335387776065742,0.03903441191576785,0.035952747817154594,0.001027221366204417,0.0,0.0015408320493066256,0.0,0.004108885464817668,0.0035952747817154596,0.8094504365690807,0.02054442732408834,0.012840267077555213,0.0662557781201849,0.0005136106831022085,0.0903954802259887,0.0,0.1376476630713919,0.0015408320493066256,0.014381099126861838,0.0015408320493066256,0.0,0.0,0.8094504365690807,0.011813045711350795,0.0015408320493066256,0.008731381612737545,0.00667693888032871,0.002054442732408834,0.0035952747817154596,0.0005136106831022085,0.0005136106831022085,0.0903954802259887,0.9003595274781715,0.001027221366204417,0.008217770929635337,0.00667693888032871,0.3025166923472008,0.07293271700051361,0.4340010272213662,0.10015408320493066,0.0025680534155110425,0.07293271700051361,0.10015408320493066,0.4340010272213662,0.08217770929635336,0.3754494093477144,0.007190549563430919,0.008731381612737545,0.0015408320493066256,0.05752439650744735,0.06111967128916281,0.05290190035952748,0.15254237288135594,0.009758602978941962,0.005136106831022085,0.0025680534155110425,0.02054442732408834,0.008217770929635337,0.0,0.004622496147919877,0.06471494607087827,0.22342064714946072,0.0005136106831022085,0.019517205957883924,0.17719568567026195,0.004108885464817668,0.10939907550077041,0.07498715973292244,0.2665639445300462,0.35901386748844377,0.29070364663585
2020-05-01,Ealing,0.014543339150668994,0.18033740546829552,0.3007562536358348,0.15008726003490402,0.1140197789412449,0.08260616637579989,0.06457242582897033,0.07969749854566609,0.0,0.0,1.0,0.7370564281559046,0.2484002326934264,0.014543339150668994,0.04653868528214078,0.777196044211751,0.002326934264107039,0.10762070971495055,0.02617801047120419,0.03664921465968586,0.0011634671320535194,0.0,0.0005817335660267597,0.0,0.0011634671320535194,0.0005817335660267597,0.8068644560791157,0.03257707969749855,0.013379872018615475,0.07213496218731821,0.0,0.07504363001745201,0.0,0.14950552646887724,0.0017452006980802793,0.008726003490401396,0.0,0.0005817335660267597,0.0,0.8068644560791157,0.0075625363583478765,0.0034904013961605585,0.008726003490401396,0.008726003490401396,0.0017452006980802793,0.0017452006980802793,0.0005817335660267597,0.0,0.051192553810354854,0.9342641070389761,0.0011634671320535194,0.013379872018615475,0.006399069226294357,0.20884235020360675,0.035485747527632346,0.3827806864456079,0.2873763816172193,0.0075625363583478765,0.058173356602675974,0.2873763816172193,0.3827806864456079,0.07213496218731821,0.2443280977312391,0.08260616637579989,0.02443280977312391,0.004072134962187318,0.1070389761489238,0.038976148923792905,0.13612565445026178,0.09016870273414776,0.0075625363583478765,0.0029086678301337987,0.0011634671320535194,0.018033740546829553,0.008144269924374637,0.0,0.002326934264107039,0.038976148923792905,0.19604421175101802,0.0017452006980802793,0.02501454333915067,0.1227457824316463,0.0017452006980802793,0.07678883071553229,0.2181500872600349,0.26527050610820246,0.3019197207678883,0.20127981384525886
